,English,Swedish,Danish,Norwegian,German,red,green,yellow,blue,white,dogs,birds,cats,horses,fish,Blend,Blue Masters,Dunhill,Pall Mall,Prince,0,1,2,3,4,milk,tea,coffee,beer,water
English,1,,,,,1,,,,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,,,0,0
Swedish,,1,,,,,0,0,,0,1,,,,,0,0,0,,,,0,0,0,0,0,,0,0,0
Danish,,,1,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,0,,0,0,,1,,,
Norwegian,,,,1,,,,,1,,,0,0,0,0,0,0,,0,,1,,,,,,,0,0,0
German,,,,,1,,0,0,,0,,0,0,0,0,,,,,1,,0,0,0,0,0,,0,0,0
red,1,,,,,1,,,,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,,,0,0
green,,0,,,0,,1,,,,0,0,0,0,0,0,0,,0,0,,0,,0,0,,,1,,
yellow,,0,0,,0,,,1,,,0,0,0,0,0,,,1,,,,0,0,0,0,0,0,,0,0
blue,,,,1,,,,,1,,0,0,0,0,0,0,0,,0,0,1,,,,,,,,0,0
white,,0,0,,0,,,,,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0
dogs,,1,,,,0,0,0,0,0,1,,,,,0,0,0,,,,0,0,0,0,0,,0,0,0
birds,0,,0,0,0,0,0,0,0,0,,1,,,,,,,1,,0,0,0,0,0,0,0,0,0,0
cats,0,,0,0,0,0,0,0,0,0,,,1,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0
horses,0,,0,0,0,0,0,0,0,0,,,,1,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
fish,0,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Blend,0,0,0,0,,0,0,,0,0,0,0,,0,0,1,,,,,0,0,0,0,0,0,0,0,,
Blue Masters,0,0,,0,,0,,,0,0,0,0,0,0,0,,1,,,,0,0,,0,0,,,,1,
Dunhill,0,0,0,,,,,1,,,0,0,0,,0,,,1,,,,0,0,0,0,0,0,0,,0
Pall Mall,0,0,0,0,,0,0,,0,0,0,,0,0,0,,,,1,,0,0,0,0,0,0,0,0,,0
Prince,,,,,1,0,0,,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,,0
0,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,0,,0,0
1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,0,0,0
2,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,,,1,,,,
3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,0,0,0,0
4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,0,0,0,0
milk,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,,,1,,,,
tea,,,1,,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,1,,,
coffee,,0,,,0,,1,,,,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,1,,
beer,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,1,,,,0,0,,0,0,,,,1,
water,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,,,,,1
